TOKEN,POS
﻿Dantès,NC
resta,V
confondu,VPP
:,PONCT
c',CLS
était,V
",",PONCT
en_effet,ADV
,
",",PONCT
l',DET
explication,NC
de,P
ce,PRO
qui,PROREL
s',CLR
était,V
passé,VPP
à,P
son,DET
insu,NC
dans,P
son,DET
esprit,NC
ou,CC
plutôt,ADV
dans,P
son,DET
âme,NC
",",PONCT
car,CC
il_y_a,P
,
,
des,DET
pensées,NC
qui,PROREL
viennent,V
de,P
la,DET
tête,NC
",",PONCT
et,CC
d',DET
autres,PRO
qui,PROREL
viennent,V
du,P+D
coeur,NC
.,PONCT
Et_puis,CC
,
",",PONCT
continua,P
Faria,NPP
",",PONCT
depuis,P
tantôt,ADV
douze,DET
ans,NC
que,CS
je,CLS
suis,V
en,P
prison,NC
",",PONCT
j',CLS
ai,V
repassé,VPP
dans,P
mon,DET
esprit,NC
toutes,ADJ
les,DET
évasions,NC
célèbres,ADJ
.,PONCT
Je,CLS
n',ADV
ai,V
vu,VPP
réussir,VINF
que,CS
rarement,ADV
les,DET
évasions,NC
.,PONCT
Les,DET
évasions,NC
heureuses,ADJ
",",PONCT
les,DET
évasions,NC
couronnées,ADJ
d',P
un,DET
plein,ADJ
succès,NC
",",PONCT
sont,V
les,DET
évasions,NC
méditées,VPP
avec,P
soin,NC
et,CC
lentement,ADV
préparées,VPP
;,PONCT
c',CLS
est,V
ainsi,ADV
que,CS
le,DET
duc,NC
de,P
Beaufort,NPP
s',CLR
est,V
échappé,VPP
du,P+D
château,NC
de,P
Vincennes,NPP
;,PONCT
l',DET
abbé,NC
Dubuquoi,NPP
du,P+D
Fort-l'_Évêque,NPP
",",PONCT
et,CC
Latude,NC
de,P
la,DET
Bastille,NPP
.,PONCT
Il_y_a,P
,
,
encore,ADV
celles,PRO
que,CS
le,DET
hasard,NC
peut,V
offrir,VINF
:,PONCT
celles-là,PRO
,
sont,V
les,DET
meilleures,ADJ
;,PONCT
attendons,NC
une,DET
occasion,NC
",",PONCT
croyez-moi,NC
,
",",PONCT
et,CC
si,CS
cette,DET
occasion,NC
se,CLR
présente,V
",",PONCT
